Mouse.Gene_ID	MGI	Entrez.Gene_ID	Human.Gene_ID	HGNC
ENSMUSG00000094689	Ighv1-81	NA	ENSG00000278782	
ENSMUSG00000094652	Ighv1-42	NA	ENSG00000278782	
ENSMUSG00000095442	Ighv1-4	NA	ENSG00000278782	
ENSMUSG00000095889	Ighv1-58	NA	ENSG00000278782	
ENSMUSG00000095127	Ighv1-82	NA	ENSG00000278782	
ENSMUSG00000096020	Ighv1-75	NA	ENSG00000278782	
ENSMUSG00000076668	Ighv7-4	NA	ENSG00000277761	
ENSMUSG00000076666	Ighv14-4	NA	ENSG00000278782	
ENSMUSG00000094241	Ighv1-24	NA	ENSG00000278782	
ENSMUSG00000096499	Ighv1-5	NA	ENSG00000278782	
ENSMUSG00000076674	Ighv3-8	NA	ENSG00000275063	
ENSMUSG00000094088	Ighv1-64	NA	ENSG00000278782	
ENSMUSG00000093838	Ighv3-1	NA	ENSG00000275063	
ENSMUSG00000096326	Ighv1-78	NA	ENSG00000278782	
ENSMUSG00000095519	Ighv1-66	NA	ENSG00000278782	
ENSMUSG00000095589	Ighv1-55	NA	ENSG00000278782	
ENSMUSG00000076676	Ighv12-3	NA	ENSG00000275063	
ENSMUSG00000096649	Ighv1-31	NA	ENSG00000278782	
ENSMUSG00000102888	Ighv1-11	NA	ENSG00000278782	
ENSMUSG00000096150	Ighv1-85	NA	ENSG00000278782	
ENSMUSG00000095197	Ighv1-59	NA	ENSG00000278782	
ENSMUSG00000095204	Ighv1-52	NA	ENSG00000278782	
ENSMUSG00000094940	Ighv1-84	NA	ENSG00000278782	
ENSMUSG00000103254	Ighv1-15	NA	ENSG00000278782	
ENSMUSG00000076688	Ighv15-2	NA	ENSG00000278782	
ENSMUSG00000076653	Ighv7-2	NA	ENSG00000277761	
ENSMUSG00000096074	Ighv1-72	NA	ENSG00000278782	
ENSMUSG00000094509	Ighv14-1	NA	ENSG00000278782	
ENSMUSG00000076652	Ighv7-3	NA	ENSG00000277761	
ENSMUSG00000096078	Ighv1-62-2	NA	ENSG00000278782	
ENSMUSG00000076695	Ighv1-18	NA	ENSG00000278782	
ENSMUSG00000094561	Ighv1-22	NA	ENSG00000278782	
ENSMUSG00000019558	Slc6a8	102857	ENSG00000273554	
ENSMUSG00000102313	Ighv1-62-1	NA	ENSG00000278782	
ENSMUSG00000076709	Ighv1-47	NA	ENSG00000278782	
ENSMUSG00000103939	Ighv3-4	NA	ENSG00000275063	
ENSMUSG00000096410	Ighv1-19	NA	ENSG00000278782	
ENSMUSG00000094198	Ighv1-50	NA	ENSG00000278782	
ENSMUSG00000096452	Ighv1-77	NA	ENSG00000278782	
ENSMUSG00000095554	Ighv1-16	NA	ENSG00000278782	
ENSMUSG00000093896	Ighv1-76	NA	ENSG00000278782	
ENSMUSG00000096577	Ighv1-71	NA	ENSG00000278782	
ENSMUSG00000094694	Ighv1-9	NA	ENSG00000278782	
ENSMUSG00000103290	Ighv1-23	NA	ENSG00000278782	
ENSMUSG00000095416	Ighv1-12	NA	ENSG00000278782	
ENSMUSG00000095859	Ighv1-43	NA	ENSG00000278782	
ENSMUSG00000094787	Ighv1-54	NA	ENSG00000278782	
ENSMUSG00000093894	Ighv1-53	NA	ENSG00000278782	
ENSMUSG00000094051	Ighv1-36	NA	ENSG00000278782	
ENSMUSG00000076672	Ighv3-6	NA	ENSG00000275063	
ENSMUSG00000093955	Ighv1-34	NA	ENSG00000278782	
ENSMUSG00000076665	Ighv7-1	NA	ENSG00000277761	
ENSMUSG00000095642	Ighv14-3	NA	ENSG00000278782	
ENSMUSG00000095583	Ighv14-2	NA	ENSG00000278782	
ENSMUSG00000095200	Ighv1-7	NA	ENSG00000278782	
ENSMUSG00000024277	Mapre2	212307	ENSG00000166974	MAPRE2
ENSMUSG00000052105	Mtcl1	68617	ENSG00000168502	MTCL1
ENSMUSG00000055639	Dach1	13134	ENSG00000276644	DACH1
ENSMUSG00000022009	Nufip1	27275	ENSG00000083635	NUFIP1
ENSMUSG00000067995	Gtf2f2	68705	ENSG00000188342	GTF2F2
ENSMUSG00000029644	Pdx1	18609	ENSG00000139515	PDX1
ENSMUSG00000050612	Txndc2	213272	ENSG00000168454	TXNDC2
ENSMUSG00000034913	Cby2	67926	ENSG00000174015	CBY2
ENSMUSG00000101667	Gm29289	NA	ENSG00000242389	RBMY1E
ENSMUSG00000101667	Gm29289	NA	ENSG00000234414	RBMY1A1
ENSMUSG00000101667	Gm29289	NA	ENSG00000226941	RBMY1J
ENSMUSG00000101667	Gm29289	NA	ENSG00000242875	RBMY1B
ENSMUSG00000101667	Gm29289	NA	ENSG00000244395	RBMY1D
ENSMUSG00000101667	Gm29289	NA	ENSG00000169800	RBMY1F
ENSMUSG00000069044	Usp9y	107868	ENSG00000114374	USP9Y
ENSMUSG00000022931	Krtap15	26560	ENSG00000186970	KRTAP15-1
ENSMUSG00000029647	Pan3	72587	ENSG00000152520	PAN3
ENSMUSG00000045569	Mc2r	17200	ENSG00000185231	MC2R
ENSMUSG00000094626	Tmem121b	94047	ENSG00000183307	TMEM121B
ENSMUSG00000071471	Krtap26-1	69533	ENSG00000197683	KRTAP26-1
ENSMUSG00000036422	Pcdh8	18530	ENSG00000136099	PCDH8
ENSMUSG00000024525	Impa2	114663	ENSG00000141401	IMPA2
ENSMUSG00000053062	Jam2	67374	ENSG00000154721	JAM2
ENSMUSG00000027746	Ufm1	67890	ENSG00000120686	UFM1
ENSMUSG00000009047	Gm5965	546672	ENSG00000240432	KRTAP13-3
ENSMUSG00000093918	Gm21677	100862365	ENSG00000242389	RBMY1E
ENSMUSG00000093918	Gm21677	100862365	ENSG00000234414	RBMY1A1
ENSMUSG00000093918	Gm21677	100862365	ENSG00000226941	RBMY1J
ENSMUSG00000093918	Gm21677	100862365	ENSG00000242875	RBMY1B
ENSMUSG00000093918	Gm21677	100862365	ENSG00000244395	RBMY1D
ENSMUSG00000093918	Gm21677	100862365	ENSG00000169800	RBMY1F
ENSMUSG00000022002	Erich6b	75272	ENSG00000165837	ERICH6B
ENSMUSG00000033083	Tbc1d4	210789	ENSG00000136111	TBC1D4
ENSMUSG00000022960	Donson	60364	ENSG00000159147	DONSON
ENSMUSG00000054509	Parp4	328417	ENSG00000102699	PARP4
ENSMUSG00000021938	Pspc1	66645	ENSG00000121390	PSPC1
ENSMUSG00000021981	Cab39l	69008	ENSG00000102547	CAB39L
ENSMUSG00000045336	Hsfy2	71066	ENSG00000169953	HSFY2
ENSMUSG00000045336	Hsfy2	71066	ENSG00000172468	HSFY1
ENSMUSG00000021993	Mipep	70478	ENSG00000027001	MIPEP
ENSMUSG00000037902	Sirpa	19261	ENSG00000260861	
ENSMUSG00000091649	Phf11b	236451	ENSG00000136147	PHF11
ENSMUSG00000034755	Pcdh11x	245578	ENSG00000099715	PCDH11Y
ENSMUSG00000049504	Proser1	212127	ENSG00000120685	PROSER1
ENSMUSG00000022016	Akap11	219181	ENSG00000023516	AKAP11
ENSMUSG00000052299	Ltn1	78913	ENSG00000198862	LTN1
ENSMUSG00000022064	Pibf1	52023	ENSG00000083535	PIBF1
ENSMUSG00000022857	Tmprss15	19146	ENSG00000154646	TMPRSS15
ENSMUSG00000102053	Gm4064	100042849	ENSG00000242389	RBMY1E
ENSMUSG00000102053	Gm4064	100042849	ENSG00000234414	RBMY1A1
ENSMUSG00000102053	Gm4064	100042849	ENSG00000226941	RBMY1J
ENSMUSG00000102053	Gm4064	100042849	ENSG00000242875	RBMY1B
ENSMUSG00000102053	Gm4064	100042849	ENSG00000244395	RBMY1D
ENSMUSG00000102053	Gm4064	100042849	ENSG00000169800	RBMY1F
ENSMUSG00000029646	Cdx2	12591	ENSG00000165556	CDX2
ENSMUSG00000096520	Gm3376	100041505	ENSG00000242389	RBMY1E
ENSMUSG00000096520	Gm3376	100041505	ENSG00000234414	RBMY1A1
ENSMUSG00000096520	Gm3376	100041505	ENSG00000226941	RBMY1J
ENSMUSG00000096520	Gm3376	100041505	ENSG00000242875	RBMY1B
ENSMUSG00000096520	Gm3376	100041505	ENSG00000244395	RBMY1D
ENSMUSG00000096520	Gm3376	100041505	ENSG00000169800	RBMY1F
ENSMUSG00000024099	Ndufv2	72900	ENSG00000178127	NDUFV2
ENSMUSG00000091987	Gm10352	100042881	ENSG00000242389	RBMY1E
ENSMUSG00000091987	Gm10352	100042881	ENSG00000234414	RBMY1A1
ENSMUSG00000091987	Gm10352	100042881	ENSG00000226941	RBMY1J
ENSMUSG00000091987	Gm10352	100042881	ENSG00000242875	RBMY1B
ENSMUSG00000091987	Gm10352	100042881	ENSG00000244395	RBMY1D
ENSMUSG00000091987	Gm10352	100042881	ENSG00000169800	RBMY1F
ENSMUSG00000071347	C1qtnf9	239126	ENSG00000240654	C1QTNF9
ENSMUSG00000022962	Gart	14450	ENSG00000159131	GART
ENSMUSG00000034295	Fhod3	225288	ENSG00000134775	FHOD3
ENSMUSG00000059632	Krtap8-1	16703	ENSG00000183640	KRTAP8-1
ENSMUSG00000053329	Gatd3a	28295	ENSG00000280071	GATD3B
ENSMUSG00000053329	Gatd3a	28295	ENSG00000276612	
ENSMUSG00000069036	Sry	21674	ENSG00000184895	SRY
ENSMUSG00000025481	Urah	76974	ENSG00000183463	URAD
ENSMUSG00000089774	Slc5a3	53881	ENSG00000198743	SLC5A3
ENSMUSG00000066551	Hmgb1	15289	ENSG00000189403	HMGB1
ENSMUSG00000105906	Iglc1	NA	ENSG00000211677	IGLC2
ENSMUSG00000038965	Ube2l3	22195	ENSG00000236444	UBE2L5
ENSMUSG00000029636	Wasf3	245880	ENSG00000132970	WASF3
ENSMUSG00000041134	Cyyr1	224405	ENSG00000166265	CYYR1
ENSMUSG00000022070	Bora	77744	ENSG00000136122	BORA
ENSMUSG00000033628	Pik3c3	225326	ENSG00000078142	PIK3C3
ENSMUSG00000047879	Usp14	59025	ENSG00000101557	USP14
ENSMUSG00000039929	Urb1	207932	ENSG00000142207	URB1
ENSMUSG00000000732	Icosl	50723	ENSG00000277117	
ENSMUSG00000022013	Dnajc15	66148	ENSG00000120675	DNAJC15
ENSMUSG00000006345	Ggt1	14598	ENSG00000133475	GGT2
ENSMUSG00000006345	Ggt1	14598	ENSG00000274252	GGTLC3
ENSMUSG00000051989	Smim11	68936	ENSG00000273590	SMIM11B
ENSMUSG00000078783	Gm9733	751864	ENSG00000260861	
ENSMUSG00000091212	Krtap11-1	16693	ENSG00000182591	KRTAP11-1
ENSMUSG00000056673	Kdm5d	20592	ENSG00000012817	KDM5D
ENSMUSG00000100194	Tgif2lx2	100039551	ENSG00000176679	TGIF2LY
ENSMUSG00000021967	Mrpl57	67840	ENSG00000173141	MRPL57
ENSMUSG00000058488	Kl	16591	ENSG00000133116	KL
ENSMUSG00000041264	Uspl1	231915	ENSG00000132952	USPL1
ENSMUSG00000061808	Ttr	22139	ENSG00000183463	URAD
ENSMUSG00000027460	Angpt4	11602	ENSG00000101280	ANGPT4
ENSMUSG00000061104	Sap18b	100041953	ENSG00000150459	SAP18
ENSMUSG00000021963	Sap18	20220	ENSG00000150459	SAP18
ENSMUSG00000027750	Postn	50706	ENSG00000133110	POSTN
ENSMUSG00000041079	Rwdd2b	53858	ENSG00000156253	RWDD2B
ENSMUSG00000050239	Krtap24-1	239932	ENSG00000188694	KRTAP24-1
ENSMUSG00000071350	Setdb2	239122	ENSG00000136169	SETDB2
ENSMUSG00000005148	Klf5	12224	ENSG00000102554	KLF5
ENSMUSG00000109901	Chmp1b	67064	ENSG00000255112	CHMP1B
ENSMUSG00000051950	B3glct	381694	ENSG00000187676	B3GLCT
ENSMUSG00000012114	Med15	94112	ENSG00000099917	MED15
ENSMUSG00000039680	Mrps6	121022	ENSG00000243927	MRPS6
ENSMUSG00000034795	Ccdc122	108811	ENSG00000151773	CCDC122
ENSMUSG00000050224	Krtap13	16699	ENSG00000240432	KRTAP13-3
ENSMUSG00000031482	Slc25a15	18408	ENSG00000102743	SLC25A15
ENSMUSG00000033487	Fndc3a	319448	ENSG00000102531	FNDC3A
ENSMUSG00000024537	Psmg2	107047	ENSG00000128789	PSMG2
ENSMUSG00000074681	Defb23	629114	ENSG00000125903	DEFB129
ENSMUSG00000050505	Pcdh20	219257	ENSG00000280165	PCDH20
ENSMUSG00000022076	Klhl1	93688	ENSG00000150361	KLHL1
ENSMUSG00000041468	Gpr12	14738	ENSG00000132975	GPR12
ENSMUSG00000022025	Cnmd	16840	ENSG00000136110	CNMD
ENSMUSG00000071636	Rimbp3	239731	ENSG00000275793	RIMBP3
ENSMUSG00000094511	Gm21693	100862383	ENSG00000242389	RBMY1E
ENSMUSG00000094511	Gm21693	100862383	ENSG00000234414	RBMY1A1
ENSMUSG00000094511	Gm21693	100862383	ENSG00000226941	RBMY1J
ENSMUSG00000094511	Gm21693	100862383	ENSG00000242875	RBMY1B
ENSMUSG00000094511	Gm21693	100862383	ENSG00000244395	RBMY1D
ENSMUSG00000094511	Gm21693	100862383	ENSG00000169800	RBMY1F
ENSMUSG00000002897	Il17ra	16172	ENSG00000177663	IL17RA
ENSMUSG00000024056	Ndc80	67052	ENSG00000080986	NDC80
ENSMUSG00000024042	Sik1	17691	ENSG00000275993	SIK1B
ENSMUSG00000044703	Phf11a	219131	ENSG00000136147	PHF11
ENSMUSG00000033186	Mzt1	76789	ENSG00000204899	MZT1
ENSMUSG00000048830	2310057N15Rik	69696	ENSG00000240432	KRTAP13-3
ENSMUSG00000021990	Spata13	219140	ENSG00000273167	
ENSMUSG00000036461	Elf1	13709	ENSG00000120690	ELF1
ENSMUSG00000027793	Ccna1	12427	ENSG00000133101	CCNA1
ENSMUSG00000032852	Rspo4	228770	ENSG00000101282	RSPO4
ENSMUSG00000036103	Colec12	140792	ENSG00000158270	COLEC12
ENSMUSG00000100486	Gm4131	100042960	ENSG00000226792	C13orf42
ENSMUSG00000027335	Adra1d	11550	ENSG00000171873	ADRA1D
ENSMUSG00000095028	Sirpb1b	668101	ENSG00000260861	
ENSMUSG00000100133	Tgif2lx1	245583	ENSG00000176679	TGIF2LY
ENSMUSG00000052584	Serp2	72661	ENSG00000151778	SERP2
ENSMUSG00000022012	Enox1	239188	ENSG00000120658	ENOX1
ENSMUSG00000074677	Sirpb1c	100038947	ENSG00000260861	
ENSMUSG00000010592	Dazl	13164	ENSG00000205944	DAZ2
ENSMUSG00000010592	Dazl	13164	ENSG00000205916	DAZ4
ENSMUSG00000010592	Dazl	13164	ENSG00000188120	DAZ1
ENSMUSG00000010592	Dazl	13164	ENSG00000187191	DAZ3
ENSMUSG00000050996	Cetn1	26369	ENSG00000177143	CETN1
ENSMUSG00000016503	Gtf3a	66596	ENSG00000122034	GTF3A
ENSMUSG00000050520	Cldn8	54420	ENSG00000156284	CLDN8
ENSMUSG00000022130	Tgds	76355	ENSG00000088451	TGDS
ENSMUSG00000041720	Pi4ka	224020	ENSG00000241973	PI4KA
ENSMUSG00000069045	Ddx3y	26900	ENSG00000067048	DDX3Y
ENSMUSG00000022964	Tmem50b	77975	ENSG00000142188	TMEM50B
ENSMUSG00000095948	Gm21708	100862398	ENSG00000242389	RBMY1E
ENSMUSG00000095948	Gm21708	100862398	ENSG00000234414	RBMY1A1
ENSMUSG00000095948	Gm21708	100862398	ENSG00000226941	RBMY1J
ENSMUSG00000095948	Gm21708	100862398	ENSG00000242875	RBMY1B
ENSMUSG00000095948	Gm21708	100862398	ENSG00000244395	RBMY1D
ENSMUSG00000095948	Gm21708	100862398	ENSG00000169800	RBMY1F
ENSMUSG00000025616	Usp16	74112	ENSG00000156256	USP16
ENSMUSG00000022935	Grik1	14805	ENSG00000171189	GRIK1
ENSMUSG00000093987	Gm21704	100862394	ENSG00000242389	RBMY1E
ENSMUSG00000093987	Gm21704	100862394	ENSG00000234414	RBMY1A1
ENSMUSG00000093987	Gm21704	100862394	ENSG00000226941	RBMY1J
ENSMUSG00000093987	Gm21704	100862394	ENSG00000242875	RBMY1B
ENSMUSG00000093987	Gm21704	100862394	ENSG00000244395	RBMY1D
ENSMUSG00000093987	Gm21704	100862394	ENSG00000169800	RBMY1F
ENSMUSG00000027794	Sohlh2	74434	ENSG00000120669	SOHLH2
ENSMUSG00000027794	Sohlh2	74434	ENSG00000250709	CCDC169-SOHLH2
ENSMUSG00000038044	Cct8l1	242891	ENSG00000198445	CCT8L2
ENSMUSG00000022945	Chaf1b	110749	ENSG00000159259	CHAF1B
ENSMUSG00000061613	U2af1	108121	ENSG00000275895	U2AF1L5
ENSMUSG00000029657	Hsph1	15505	ENSG00000120694	HSPH1
ENSMUSG00000014932	Yes1	22612	ENSG00000176105	YES1
ENSMUSG00000091144	Phf11c	628705	ENSG00000136147	PHF11
ENSMUSG00000022114	Spry2	24064	ENSG00000136158	SPRY2
ENSMUSG00000024256	Adcyap1	11516	ENSG00000141433	ADCYAP1
ENSMUSG00000055692	Tmem191c	224019	ENSG00000278558	TMEM191B
ENSMUSG00000044350	Lacc1	210808	ENSG00000179630	LACC1
ENSMUSG00000044350	Lacc1	210808	ENSG00000281883	
ENSMUSG00000044860	Gm1123	382097	ENSG00000154639	CXADR
ENSMUSG00000025613	Cct8	12469	ENSG00000156261	CCT8
ENSMUSG00000029648	Flt1	14254	ENSG00000102755	FLT1
ENSMUSG00000116933	Atp5o	NA	ENSG00000159147	DONSON
ENSMUSG00000116636	Gm20741	NA	ENSG00000240432	KRTAP13-3
ENSMUSG00000095407	Tmem200c	622645	ENSG00000206432	TMEM200C
ENSMUSG00000021974	Fgf9	14180	ENSG00000102678	FGF9
ENSMUSG00000029649	Pomp	66537	ENSG00000132963	POMP
ENSMUSG00000037016	Frem2	242022	ENSG00000150893	FREM2
ENSMUSG00000076937	Iglc2	NA	ENSG00000211677	IGLC2
ENSMUSG00000000365	Rnf17	30054	ENSG00000132972	RNF17
ENSMUSG00000068457	Uty	22290	ENSG00000183878	UTY
ENSMUSG00000022123	Scel	64929	ENSG00000136155	SCEL
ENSMUSG00000095852	Gm10256	100042874	ENSG00000242389	RBMY1E
ENSMUSG00000095852	Gm10256	100042874	ENSG00000234414	RBMY1A1
ENSMUSG00000095852	Gm10256	100042874	ENSG00000226941	RBMY1J
ENSMUSG00000095852	Gm10256	100042874	ENSG00000242875	RBMY1B
ENSMUSG00000095852	Gm10256	100042874	ENSG00000244395	RBMY1D
ENSMUSG00000095852	Gm10256	100042874	ENSG00000169800	RBMY1F
ENSMUSG00000055811	Cldn17	239931	ENSG00000156282	CLDN17
ENSMUSG00000032834	Pwp2	110816	ENSG00000275464	
ENSMUSG00000051728	Fam243	75328	ENSG00000277277	FAM243B
ENSMUSG00000051728	Fam243	75328	ENSG00000222018	FAM243A
ENSMUSG00000022762	Ncam2	17968	ENSG00000154654	NCAM2
ENSMUSG00000079184	Mphosph8	75339	ENSG00000196199	MPHOSPH8
ENSMUSG00000021929	Kpna3	16648	ENSG00000102753	KPNA3
ENSMUSG00000021965	Ska3	219114	ENSG00000165480	SKA3
ENSMUSG00000055660	Mettl4	76781	ENSG00000101574	METTL4
ENSMUSG00000048332	Lhfp	108927	ENSG00000183722	LHFPL6
ENSMUSG00000078780	Gm5150	381484	ENSG00000260861	
ENSMUSG00000062526	Mppe1	225651	ENSG00000154889	MPPE1
ENSMUSG00000068078	2310034C09Rik	117172	ENSG00000240432	KRTAP13-3
ENSMUSG00000000374	Trappc10	216131	ENSG00000280433	
ENSMUSG00000094658	Rbmy	19657	ENSG00000242389	RBMY1E
ENSMUSG00000094658	Rbmy	19657	ENSG00000234414	RBMY1A1
ENSMUSG00000094658	Rbmy	19657	ENSG00000226941	RBMY1J
ENSMUSG00000094658	Rbmy	19657	ENSG00000242875	RBMY1B
ENSMUSG00000094658	Rbmy	19657	ENSG00000244395	RBMY1D
ENSMUSG00000094658	Rbmy	19657	ENSG00000169800	RBMY1F
ENSMUSG00000044252	Osbpl1a	64291	ENSG00000141447	OSBPL1A
ENSMUSG00000025246	Tbl1x	21372	ENSG00000092377	TBL1Y
ENSMUSG00000056350	Krtap13-1	268905	ENSG00000186971	KRTAP13-4
ENSMUSG00000056350	Krtap13-1	268905	ENSG00000198390	KRTAP13-1
ENSMUSG00000021973	Micu2	68514	ENSG00000165487	MICU2
ENSMUSG00000022010	Tsc22d1	21807	ENSG00000102804	TSC22D1
ENSMUSG00000049775	Tmsb4x	19241	ENSG00000154620	TMSB4Y
ENSMUSG00000056515	Rab31	106572	ENSG00000168461	RAB31
ENSMUSG00000021947	Cryl1	68631	ENSG00000165475	CRYL1
ENSMUSG00000095788	Sirpb1a	320832	ENSG00000260861	
ENSMUSG00000042514	Klhl14	225266	ENSG00000197705	KLHL14
ENSMUSG00000068245	Phf11d	219132	ENSG00000136147	PHF11
ENSMUSG00000041298	Katnal1	231912	ENSG00000102781	KATNAL1
ENSMUSG00000022983	Scaf4	224432	ENSG00000156304	SCAF4
ENSMUSG00000022892	App	11820	ENSG00000142192	APP
ENSMUSG00000024287	Thoc1	225160	ENSG00000079134	THOC1
ENSMUSG00000016520	Lnx2	140887	ENSG00000139517	LNX2
ENSMUSG00000022864	D16Ertd472e	67102	ENSG00000154642	C21orf91
ENSMUSG00000024420	Zfp521	225207	ENSG00000198795	ZNF521
ENSMUSG00000027434	Nkx2-2	18088	ENSG00000125820	NKX2-2
ENSMUSG00000092572	Serpinb10	241197	ENSG00000242550	SERPINB10
ENSMUSG00000115302	Gm49394	NA	ENSG00000284779	
ENSMUSG00000018459	Slc13a3	114644	ENSG00000158296	SLC13A3
ENSMUSG00000020329	Polrmt	216151	ENSG00000099821	POLRMT
ENSMUSG00000065807	Gm23038	115489779	ENSG00000207330	RNU6-73P
ENSMUSG00000064936	Gm23722	115485772	ENSG00000252045	
ENSMUSG00000037771	Slc32a1	22348	ENSG00000101438	SLC32A1
ENSMUSG00000090113	Nhlrc4	621239	ENSG00000257108	NHLRC4
ENSMUSG00000053329	Gatd3a	28295	ENSG00000160221	GATD3A
ENSMUSG00000043301	Kcnj6	16522	ENSG00000157542	KCNJ6
ENSMUSG00000037820	Tgm2	21817	ENSG00000198959	TGM2
ENSMUSG00000024033	Rsph1	22092	ENSG00000160188	RSPH1
ENSMUSG00000039097	Rln1	19773	ENSG00000107018	RLN1
ENSMUSG00000031444	F10	14058	ENSG00000126218	F10
ENSMUSG00000039903	Eva1c	70967	ENSG00000166979	EVA1C
ENSMUSG00000038894	Irs2	384783	ENSG00000185950	IRS2
ENSMUSG00000022439	Parvg	64099	ENSG00000138964	PARVG
ENSMUSG00000034997	Htr2a	15558	ENSG00000102468	HTR2A
ENSMUSG00000036529	Sbf1	77980	ENSG00000100241	SBF1
ENSMUSG00000018865	Sult4a1	29859	ENSG00000130540	SULT4A1
ENSMUSG00000001211	Agpat3	28169	ENSG00000160216	AGPAT3
ENSMUSG00000060314	Zfp941	407812	ENSG00000175322	ZNF519
ENSMUSG00000049672	Zbtb14	22666	ENSG00000198081	ZBTB14
ENSMUSG00000022416	Cacna1i	239556	ENSG00000100346	CACNA1I
ENSMUSG00000038542	Pcid2	234069	ENSG00000126226	PCID2
ENSMUSG00000062098	Btbd3	228662	ENSG00000132640	BTBD3
ENSMUSG00000031299	Pdha1	18597	ENSG00000131828	PDHA1
ENSMUSG00000027429	Sec23b	27054	ENSG00000101310	SEC23B
ENSMUSG00000022952	Runx1	12394	ENSG00000159216	RUNX1
ENSMUSG00000093137	Gm25995	115487318	ENSG00000202468	RNU4-17P
ENSMUSG00000060063	Alox5ap	11690	ENSG00000132965	ALOX5AP
ENSMUSG00000072878	1700123L14Rik	NA	ENSG00000093000	NUP50
ENSMUSG00000020419	Hormad2	75828	ENSG00000176635	HORMAD2
ENSMUSG00000029659	Medag	70717	ENSG00000102802	MEDAG
ENSMUSG00000048755	Mcat	223722	ENSG00000100294	MCAT
ENSMUSG00000031352	Hccs	15159	ENSG00000004961	HCCS
ENSMUSG00000037885	Stk35	67333	ENSG00000125834	STK35
ENSMUSG00000031450	Grk1	24013	ENSG00000185974	GRK1
ENSMUSG00000021905	Dph3	105638	ENSG00000154813	DPH3
ENSMUSG00000037683	Armc3	70882	ENSG00000165309	ARMC3
ENSMUSG00000020949	Fkbp3	30795	ENSG00000100442	FKBP3
ENSMUSG00000052752	Traf7	224619	ENSG00000131653	TRAF7
ENSMUSG00000022026	Olfm4	380924	ENSG00000102837	OLFM4
ENSMUSG00000073802	Cdkn2b	12579	ENSG00000147883	CDKN2B
ENSMUSG00000044340	Phlpp1	98432	ENSG00000081913	PHLPP1
ENSMUSG00000037376	Trmt6	66926	ENSG00000089195	TRMT6
ENSMUSG00000040158	Tax1bp3	76281	ENSG00000213977	TAX1BP3
ENSMUSG00000044442	N6amt1	67768	ENSG00000156239	N6AMT1
ENSMUSG00000074743	Thbd	21824	ENSG00000178726	THBD
ENSMUSG00000042997	Nhlrc3	212114	ENSG00000188811	NHLRC3
ENSMUSG00000070576	Mn1	433938	ENSG00000169184	MN1
ENSMUSG00000022442	Ttll1	319953	ENSG00000100271	TTLL1
ENSMUSG00000022014	Epsti1	108670	ENSG00000133106	EPSTI1
ENSMUSG00000026712	Mrc1	17533	ENSG00000260314	MRC1
ENSMUSG00000068154	Insm1	53626	ENSG00000173404	INSM1
ENSMUSG00000026047	Poglut2	72050	ENSG00000134901	POGLUT2
ENSMUSG00000034333	Zbed4	223773	ENSG00000100426	ZBED4
ENSMUSG00000116069	Gm49510	NA	ENSG00000285304	
